	Adullam	Aijalon	Anathoth	Ar	Arad	Arimathea	Ashdod	Ashkelon	Ashtaroth	Athens	Azekah	Beeroth	Beersheba	Bethsaida	Beth-shean	Bezer	Caesarea	Capernaum	Chephirah	Corinth	Cyrene	Damascus	Dor	Edrei	Eglon	Ephesus	Ezion-geber	Gath	Gaza	Gezer	Gibbethon	Gibeon	Haran	Hazar-shual	Hebron	Heshbon	Horonaim	Ibleam	Iconium	Jabesh-Gilead	Jattir	Jebus	Joppa	Kedemoth	Keilah	Kir	Lachish	Laish	Laodicea	Lystra	Makkedah	Mareshah	Medeba	Megiddo	Memphis	Mephaath	Moladah	Nazareth	Nineveh	On	Philippi	Rabbah	Rome	Shechem	Shiloh	Sidon	Taanach	Tarsus	Tekoa	Thessalonica	Thyatira	Troas	Tyre	Ur	Zoan
Adullam	8	1	3	0	1	0	2	0	1	0	3	2	3	0	0	0	0	0	0	0	0	0	1	1	2	0	0	2	1	1	0	0	0	2	6	2	0	0	0	0	1	2	0	0	1	0	5	0	0	0	2	3	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0
Aijalon	1	9	2	0	1	0	0	1	1	0	1	0	1	0	1	2	0	0	0	0	0	2	1	1	0	0	0	2	1	3	2	3	0	1	7	2	0	1	0	0	2	0	1	2	0	0	1	0	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	2	3	1	2	0	1	0	0	0	1	0	0
Anathoth	3	2	22	0	0	0	0	0	1	0	1	4	2	0	0	2	0	0	2	0	0	1	0	0	0	0	0	3	0	2	1	4	0	1	9	2	0	0	0	0	2	2	0	2	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	2	0	1	0	2	0	0	0	0	0	0
Ar	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	3	0	0	0	0	0	0	22	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arad	1	1	0	2	4	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	1	0	2	0	1	2	0	0	0	0	3	8	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
Arimathea	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ashdod	2	0	0	0	0	0	30	5	2	0	2	0	2	0	0	0	0	0	0	0	0	3	0	2	2	0	0	9	9	0	0	1	0	2	5	5	0	0	0	0	2	0	0	1	2	1	2	0	0	0	2	2	2	0	0	1	2	0	0	0	0	4	0	0	0	2	0	0	1	0	0	0	5	0	0
Ashkelon	0	1	0	0	1	0	5	14	2	0	0	0	0	0	1	0	0	0	0	0	0	3	1	2	0	0	0	3	13	1	0	0	0	0	2	5	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	1	0	0	2	0	0	2	0	0	0	5	1	0	1	0	0	0	7	0	0
Ashtaroth	1	1	1	0	1	0	2	2	7	0	0	1	0	0	0	1	0	0	1	0	0	0	1	6	1	0	0	2	2	2	0	3	0	0	3	15	0	0	0	0	1	0	0	3	0	0	1	0	0	0	1	0	4	1	0	3	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0
Athens	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0
Azekah	3	1	1	0	0	0	2	0	0	0	8	0	3	0	0	0	0	0	0	0	0	0	0	0	13	0	0	4	3	2	0	16	0	2	13	0	0	0	0	0	1	0	0	0	1	0	20	0	0	0	13	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Beeroth	2	0	4	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0
Beersheba	3	1	2	0	0	0	2	0	0	0	3	0	44	0	1	0	0	0	0	0	0	3	0	1	1	0	0	1	2	0	1	2	1	5	9	0	0	0	0	0	1	0	1	0	1	0	3	0	0	0	1	1	0	3	0	0	5	0	0	2	0	2	0	0	2	3	1	0	0	0	0	0	4	0	0
Bethsaida	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0
Beth-shean	0	1	0	0	1	0	0	1	0	0	0	0	1	0	6	0	0	0	0	0	0	0	4	0	0	0	0	1	2	2	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	1	5	0	0	0	0	0	0	0	0
Bezer	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	5	3	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0
Caesarea	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	24	0	0	1	1	7	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	0	5	0	0	0	0	5	0	0
Capernaum	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0
