key	freq
Adullam	8
Aijalon	9
Anathoth	22
Ar	10
Arad	4
Arimathea	4
Ashdod	30
Ashkelon	14
Ashtaroth	7
Athens	8
Azekah	8
Beeroth	7
Beersheba	44
Bethsaida	7
Beth-shean	6
Bezer	4
Caesarea	24
Capernaum	20
Chephirah	4
Corinth	7
Cyrene	6
Damascus	101
Dor	4
Edrei	10
Eglon	23
Ephesus	27
Ezion-geber	8
Gath	47
Gaza	24
Gezer	18
Gibbethon	6
Gibeon	74
Haran	15
Hazar-shual	4
Hebron	116
Heshbon	73
Horonaim	7
Ibleam	4
Iconium	9
Jabesh-Gilead	24
Jattir	4
Jebus	7
Joppa	27
Kedemoth	4
Keilah	82
Kir	5
Lachish	51
Laish	10
Laodicea	9
Lystra	10
Makkedah	23
Mareshah	7
Medeba	6
Megiddo	13
Memphis	10
Mephaath	4
Moladah	4
Nazareth	35
Nineveh	36
On	5
Philippi	4
Rabbah	18
Rome	11
Shechem	184
Shiloh	49
Sidon	37
Taanach	7
Tarsus	6
Tekoa	12
Thessalonica	9
Thyatira	5
Troas	8
Tyre	90
Ur	5
Zoan	9
