	arctic_bay	arviat	baker_lake	bathurst_inlet	cambridge_bay	cape_dorset	chesterfield_inlet	clyde_river	coral_harbour	gjoa_haven	grise_fiord	hall_beach	igloolik	iqaluit	kimmirut	kugaaruk	kugluktuk	nanisivik	pangnirtung	pond_inlet	qikiqtarjuaq	rankin_inlet	repulse_bay	resolute	sanikiluaq	taloyoak	umingmaktok	whale_cove
arctic_bay	590	17	9	0	9	13	8	14	7	9	31	21	25	22	7	9	10	65	13	34	5	8	20	42	7	25	0	6
arviat	17	1012	67	0	30	18	13	11	19	14	3	3	16	64	5	7	35	1	18	20	3	56	14	4	8	9	0	19
baker_lake	9	67	1120	3	27	23	18	20	23	14	5	11	20	54	5	8	31	1	26	31	1	67	13	8	8	11	0	15
bathurst_inlet	0	0	3	104	8	0	0	0	0	0	0	0	0	3	1	0	4	1	0	0	0	0	0	0	1	0	12	0
cambridge_bay	9	30	27	8	2105	23	6	22	10	39	11	9	29	219	5	16	114	2	34	33	4	210	9	18	9	36	5	10
cape_dorset	13	18	23	0	23	416	7	22	11	15	8	13	15	38	50	11	25	4	24	31	6	21	10	8	12	15	0	3
chesterfield_inlet	8	13	18	0	6	7	474	13	40	5	3	4	4	6	4	11	4	0	8	6	3	34	25	4	4	7	0	30
clyde_river	14	11	20	0	22	22	13	711	12	14	15	29	24	45	14	20	13	3	18	57	37	16	8	9	14	10	0	6
coral_harbour	7	19	23	0	10	11	40	12	606	9	5	12	12	30	5	9	12	1	12	10	6	49	26	6	8	8	0	12
gjoa_haven	9	14	14	0	39	15	5	14	9	762	5	10	21	24	5	23	33	1	15	24	4	22	12	5	8	97	0	6
grise_fiord	31	3	5	0	11	8	3	15	5	5	301	6	8	22	15	14	12	2	8	23	2	3	7	75	7	4	0	6
hall_beach	21	3	11	0	9	13	4	29	12	10	6	384	76	22	4	12	6	3	7	27	6	6	6	8	9	7	0	5
igloolik	25	16	20	0	29	15	4	24	12	21	8	76	669	45	8	6	22	5	30	52	3	23	19	7	4	8	0	2
iqaluit	22	64	54	3	219	38	6	45	30	24	22	22	45	4943	27	11	64	6	69	67	12	224	14	18	24	20	0	13
kimmirut	7	5	5	1	5	50	4	14	5	5	15	4	8	27	298	6	6	1	15	9	1	7	14	7	3	8	0	3
kugaaruk	9	7	8	0	16	11	11	20	9	23	14	12	6	11	6	267	21	2	12	13	6	9	45	6	3	26	0	2
kugluktuk	10	35	31	4	114	25	4	13	12	33	12	6	22	64	6	21	1499	0	22	18	5	37	6	8	15	23	0	0
nanisivik	65	1	1	1	2	4	0	3	1	1	2	3	5	6	1	2	0	221	2	3	0	1	0	8	0	0	0	1
pangnirtung	13	18	26	0	34	24	8	18	12	15	8	7	30	69	15	12	22	2	821	42	6	46	15	6	11	13	0	5
pond_inlet	34	20	31	0	33	31	6	57	10	24	23	27	52	67	9	13	18	3	42	779	5	28	9	16	6	7	0	2
qikiqtarjuaq	5	3	1	0	4	6	3	37	6	4	2	6	3	12	1	6	5	0	6	5	240	8	3	2	5	3	0	1
rankin_inlet	8	56	67	0	210	21	34	16	49	22	3	6	23	224	7	9	37	1	46	28	8	2172	23	12	9	14	0	192
repulse_bay	20	14	13	0	9	10	25	8	26	12	7	6	19	14	14	45	6	0	15	9	3	23	599	2	4	49	0	12
resolute	42	4	8	0	18	8	4	9	6	5	75	8	7	18	7	6	8	8	6	16	2	12	2	227	4	5	0	5
sanikiluaq	7	8	8	1	9	12	4	14	8	8	7	9	4	24	3	3	15	0	11	6	5	9	4	4	704	6	0	7
taloyoak	25	9	11	0	36	15	7	10	8	97	4	7	8	20	8	26	23	0	13	7	3	14	49	5	6	488	0	4
umingmaktok	0	0	0	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
whale_cove	6	19	15	0	10	3	30	6	12	6	6	5	2	13	3	2	0	1	5	2	1	192	12	5	7	4	0	336
