	albuquerque	arlington	atlanta	austin	baltimore	boston	charlotte	chicago	cleveland	colorado springs	columbus	dallas	denver	detroit	el paso	fort worth	fresno	houston	indianapolis	jacksonville	kansas city	las vegas	long beach	los angeles	louisville	memphis	mesa	miami	milwaukee	minneapolis	nashville	new orleans	new york	oakland	oklahoma city	omaha	philadelphia	phoenix	portland	sacramento	san antonio	san diego	san francisco	san jose	seattle	tucson	tulsa	virginia beach	washington
aberdeen	0	63	0	0	86	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421
abilene	81	84	0	186	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acton	0	113	0	637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acworth	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
akron	292	77	50	0	0	0	0	0	949	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156
alamogordo	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alhambra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0
allen	0	179	55	193	0	112	295	55	57	0	0	287	0	64	0	0	0	248	0	0	0	0	0	0	0	0	0	0	62	0	0	0	167	0	0	0	306	0	0	0	0	0	0	0	233	0	0	0	264
allentown	341	47	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	81	0	0	0	0	0	0	0	0	0	0
alpharetta	0	63	968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
