key	freq
aberdeen	960
abilene	633
acton	799
acworth	149
akron	2170
alamogordo	418
alhambra	261
allen	3148
allentown	974
alpharetta	1106
alton	335
altoona	142
alvin	205
amarillo	1705
anaheim	4954
ankeny	71
ann arbor	849
annapolis	2382
antioch	787
apache junction	89
ardmore	267
arnold	1062
arvada	395
asheville	1192
atlantic city	1351
attleboro	382
auburn hills	216
aventura	554
avon	716
avondale	415
babylon	278
bainbridge island	237
bakersfield	2314
bangor	1064
barberton	68
bartlesville	183
bartlett	449
batavia	159
baton rouge	884
baytown	497
beaverton	887
belleville	193
bellingham	1895
beloit	137
benton	676
berkeley	2744
berwyn	80
beverly	1195
beverly hills	444
biddeford	105
billerica	413
biloxi	722
binghamton	979
bismarck	361
blacksburg	140
blaine	504
bloomfield	341
blythe	101
boca raton	489
bossier city	79
bothell	1086
bowie	555
bozeman	158
bradenton	162
brandon	638
brea	138
bremerton	880
bridgeport	655
bridgewater	213
brockton	347
broken arrow	139
brookfield	496
brookhaven	301
brookings	294
brookline	927
broomfield	341
brownsville	605
bryan	816
burien	243
burlingame	179
burnsville	124
caldwell	348
calumet city	85
cambridge	3836
camden	888
campbell	1564
carbondale	137
carson	666
cary	421
castle rock	190
cedar hill	69
cedar park	160
cedar rapids	194
centerville	273
chanhassen	106
chapel hill	324
charlottesville	1054
chattanooga	2582
cheektowaga	138
chelmsford	151
chelsea	1254
chesapeake	959
chester	1399
cheyenne	1164
chicago heights	2213
chicopee	91
chillicothe	358
chula vista	151
cincinnati	14194
citrus heights	98
claremont	450
clearfield	100
clearwater	1345
cleburne	410
clermont	375
cleveland heights	1920
clifton	1132
college park	470
college station	349
colleyville	192
collierville	182
collinsville	289
commerce city	108
compton	239
conroe	446
conway	431
cookeville	147
coppell	195
coral gables	438
corcoran	179
cornelius	272
corpus christi	1262
corsicana	139
corvallis	232
costa mesa	11931
council bluffs	206
coventry	187
covina	234
covington	617
crystal lake	98
culver city	173
cupertino	308
cuyahoga falls	137
daly city	128
dana point	97
danbury	388
danvers	139
dartmouth	444
davis	3564
dayton	4140
daytona beach	732
dearborn	1415
dearborn heights	112
dedham	268
deer park	195
dekalb	463
del rio	217
delano	325
delaware	3614
denison	403
denton	1414
des plaines	201
desoto	477
doral	496
dothan	210
douglasville	170
downey	294
dubuque	156
duncan	545
duncanville	168
dunwoody	574
durham	2229
eagan	213
east chicago	2300
east honolulu	175
east point	67
eastchester	95
eastpointe	68
eden prairie	148
edgewater	363
edina	283
edinburg	133
edmond	277
edmonds	617
el cajon	120
elgin	597
