name	key	lat	lon	known
Albuquerque	albuquerque	35.1172	-106.6246	unknown
Arlington	arlington	32.6945	-97.1275	unknown
Atlanta	atlanta	33.7629	-84.4226	unknown
Austin	austin	30.3059	-97.7505	unknown
Baltimore	baltimore	39.3008	-76.6106	unknown
Boston	boston	42.336	-71.0179	unknown
Charlotte	charlotte	35.1976	-80.8345	unknown
Chicago	chicago	41.8371	-87.685	unknown
Cleveland	cleveland	41.4797	-81.6785	unknown
Colorado Springs	colorado springs	38.8632	-104.7599	unknown
Columbus	columbus	39.9889	-82.9874	unknown
Dallas	dallas	32.7942	-96.7652	unknown
Denver	denver	39.768	-104.8727	unknown
Detroit	detroit	42.3831	-83.1022	unknown
El Paso	el paso	31.8493	-106.4375	unknown
Fort Worth	fort worth	32.7539	-97.3362	unknown
Fresno	fresno	36.7806	-119.7929	unknown
Houston	houston	29.7687	-95.3867	unknown
Indianapolis	indianapolis	39.7764	-86.1462	unknown
Jacksonville	jacksonville	30.3346	-81.6577	unknown
Kansas City	kansas city	39.1223	-94.552	unknown
Las Vegas	las vegas	36.2058	-115.2228	unknown
Long Beach	long beach	33.7889	-118.1598	unknown
Los Angeles	los angeles	34.1121	-118.4112	unknown
Louisville	louisville	38.2248	-85.7412	unknown
Memphis	memphis	35.1056	-90.007	unknown
Mesa	mesa	33.4177	-111.7403	unknown
Miami	miami	25.7757	-80.2108	unknown
Milwaukee	milwaukee	43.0634	-87.9666	unknown
Minneapolis	minneapolis	44.9619	-93.2668	unknown
Nashville	nashville	36.1716	-86.7848	unknown
New Orleans	new orleans	30.0658	-89.9314	unknown
New York	new york	40.6698	-73.9438	unknown
Oakland	oakland	37.7715	-122.2246	unknown
Oklahoma City	oklahoma city	35.4671	-97.5135	unknown
Omaha	omaha	41.2639	-96.0117	unknown
Philadelphia	philadelphia	40.0068	-75.1347	unknown
Phoenix	phoenix	33.5426	-112.0714	unknown
Portland	portland	45.5383	-122.6565	unknown
Sacramento	sacramento	38.5669	-121.4674	unknown
San Antonio	san antonio	29.4577	-98.5054	unknown
San Diego	san diego	32.815	-117.1358	unknown
San Francisco	san francisco	37.7933	-122.5548	unknown
San Jose	san jose	37.304	-121.8498	unknown
Seattle	seattle	47.6218	-122.3503	unknown
Tucson	tucson	32.1958	-110.8917	unknown
Tulsa	tulsa	36.1278	-95.9164	unknown
Virginia Beach	virginia beach	36.7394	-76.0437	unknown
Washington	washington	38.9051	-77.0162	unknown
aberdeen	aberdeen	45.4647197	-98.4678384	known
abilene	abilene	32.4543777	-99.7383612	known
acton	acton	42.484303	-71.4377758	known
acworth	acworth	34.0564215	-84.668859	known
akron	akron	41.0801445	-81.5219213	known
alamogordo	alamogordo	32.8833981	-105.9627013	known
alhambra	alhambra	34.0839735	-118.1355141	known
allen	allen	33.1086941	-96.6735748	known
allentown	allentown	40.5961004	-75.4755418	known
alpharetta	alpharetta	34.0703772	-84.2738395	known
alton	alton	38.9033059	-90.1523299	known
altoona	altoona	40.5083878	-78.4009009	known
alvin	alvin	29.3407794	-95.4517887	known
amarillo	amarillo	35.20038	-101.8283047	known
anaheim	anaheim	33.8252085	-117.9318365	known
ankeny	ankeny	41.727901	-93.6032285	known
ann arbor	ann arbor	42.2756869	-83.7311546	known
annapolis	annapolis	38.9705963	-76.5038341	known
antioch	antioch	37.9775883	-121.7967105	known
apache junction	apache junction	33.3982146	-111.5348896	known
ardmore	ardmore	34.194386	-97.1252472	known
arnold	arnold	38.4294129	-90.3725371	known
arvada	arvada	39.831948	-105.149696	known
asheville	asheville	35.5702617	-82.5536558	known
atlantic city	atlantic city	39.3773215	-74.4512438	known
attleboro	attleboro	41.9310722	-71.2949785	known
auburn hills	auburn hills	42.6734236	-83.2446643	known
aventura	aventura	25.956641	-80.1370603	known
avon	avon	41.4485235	-82.0187395	known
avondale	avondale	33.3157084	-112.3396052	known
babylon	babylon	40.6521565	-73.3539372	known
bainbridge island	bainbridge island	47.6488626	-122.5155629	known
bakersfield	bakersfield	35.3528902	-119.035333	known
bangor	bangor	44.8322681	-68.7906073	known
barberton	barberton	41.009574	-81.6036583	known
bartlesville	bartlesville	36.7355908	-95.9450901	known
bartlett	bartlett	35.2301984	-89.8252126	known
batavia	batavia	41.8489506	-88.3084598	known
baton rouge	baton rouge	30.4506434	-91.1265985	known
baytown	baytown	29.7583397	-94.9665485	known
beaverton	beaverton	45.4798375	-122.8150438	known
belleville	belleville	38.5148845	-89.9865333	known
bellingham	bellingham	48.7527916	-122.469162	known
beloit	beloit	42.5230464	-89.0183386	known
benton	benton	34.5769007	-92.5716084	known
